MATCH	Form	Root	Nominal_class	Meaning_de	Pages	Coptic_S	Coptic_B	Coptic_A	Coptic_A2	Coptic_Fs	Coptic_F	Coptic_M	Coptic_Sf	Coptic_O	Coptic_H	Coptic_Sa	Coptic_V	Coptic_ManiHPK	Coptic_Mf	Coptic_Sh	Coptic_Bf	Coptic_Copt_undefined
44	*b'e/irj/yvt	brjy	AaB'iCj/wat	Korb	194, 392, 549, 736	ⲃⲁⲓⲣⲉ, ⲃⲓⲣⲉ																
45	*b'i:rvj/y	brjy	AaB'i:Cij/w	Korb	194, 736	ⲃⲓⲣ					ⲃⲓⲗ		ⲃⲏⲗ									
47	*bvll'e(j/y)	bll	AaBC'ij	blind	161, 412, 437	ⲃⲗⲗⲉ	ⲃⲉⲗⲗⲉ				ⲃⲉⲗⲗⲏ											
48	*bvll'e(j/y)wv	bllw	AaBC'ij	blind	161, 412, 437	ⲃⲗⲗⲉⲉⲩ, ⲃⲗⲗⲉⲉⲩⲉ, ⲃⲗⲗⲉⲩ, ⲃⲗⲗⲉⲩⲉ	ⲃⲉⲗⲗⲉⲩ					ⲃⲗⲗⲏ										
49	*bvll'e:(j/y)vt	bll	AaBC'i:jat	blind	161	ⲃⲗⲗⲏ																
51				Wurfspeer	346		ⲃⲉⲣⲃⲓⲣ															
54					x																	
59	*bvr'e:qvt	brq	AaB'u:Cut	Blitz	98	ⲉⲃⲣⲏϭⲉ																
60	*b'esbvs	bsbs		Weisskopfente	853	ⲃⲁⲥⲃⲉⲥ																
65	*b'atꜣvt	btꜣ	A'aBCut	Greuel	65, 67, 565	ⲃⲟⲧⲉ																
66	*b'atꜣvw	btꜣ	A'aBCuw	Verbrechen u.ä.; Greuel	65, 67, 565	ⲃⲟⲧⲉ																
67	*b'uwj(aw)	bwj	A'uBCaw	Abscheu; Frevel	90, 495, 867				ⲃⲏⲩ													
70	*b'e/iꜣ	bꜣ		Waldohreule; Zwergohreule; Seele; Geist	403, 490, 695	ⲃⲁⲓ	ⲃⲁⲓ															
71				(junger) Ziegenbock	no etym 390, 475						ⲃⲁⲣⲓⲧ											
73	*bvꜣb'e:/u:ꜣ(a)w	bꜣbꜣw		Loch; Höhle	307	ⲃⲏⲃ	ⲃⲏⲃ	ⲃⲏⲃ	ⲃⲏⲃ		ⲃⲏⲃ											
75	*b'awꜣvw	bwꜣ	A'aBCaw	Hügel; Haufen	170	ⲃⲟⲟⲩ																
79	*bvꜣk'et	bꜣkt	AaBC'ut	Arbeit; Steuer; Abgabe; Gebühr	68				ⲃⲉⲕⲉ													
80	*b(a)ꜣk'e/uw	bꜣkw	AaBC'uw	Arbeit; Abgabe; Lohn	66, 415, 437, 448, 497	ⲃⲉⲕⲉ	ⲃⲁⲭⲉ, ⲃⲉⲭⲏ				ⲃⲉⲕⲏ	ⲃⲉⲕⲏ										
83	*b'a:ꜣ(a)k	bꜣk	A'a:BaC	Diener	213, 394, 751		ⲃⲱⲕ				ⲃⲱⲕ											
84	*bvꜣ'ekyvw	bꜣky	A'a:BaC	Diener	213, 394, 751		ⲉⲃⲓⲁⲓⲕ, ⲃⲁⲓⲁⲓⲕ															
85	*b(a)ꜣ'a:kvt	bꜣk	AaB'a:Cat	Dienerin	213		ⲃⲱⲕⲓ															
89	*b(e/u)ꜣ'es	bꜣs	AuB'iC	Art Vase; ein Gefäss	228	ⲃⲁⲥ																
90	*b'e/uꜣsvt	bꜣs	A'uBCit	ein Gefäss; Eimer	229, 458	ⲃⲏⲥⲉ																
91	*b'aꜥjv(y)	bꜥj		Palmrippe	843	ⲃⲁ, ⲃⲁⲉ, ⲃⲁⲉⲓ																
92	*bvꜥj'e:(y)vt	bꜥj		Palmrippe	291	ⲃⲁⲓⲏ																
93	*b'eꜥbvꜥ	bꜥbꜥ	A'iBCiD	sprudeln	54, 394	ⲃⲉⲉⲃⲉ	ⲃⲉⲃⲓ	ⲃⲉⲉⲃⲉ	ⲃⲉⲉⲃⲉ													
94	bꜥḥj	bꜥḥj		Graben	358		ⲃⲟϩⲓ															
97	*d'ijwvw	djw		fünfzig	387, 392, 393, 436	ⲧⲁⲉⲓⲟⲩ, ⲧⲁⲓⲟⲩ	ⲧⲉⲃⲓ															
102	*ḏ'i:jvt	ḏj		Kampf; Gabe	356, 362, 365, 387, 429, 492, 716	ϯ	ϯ	ϯ														
105	*dvm'eḏwvt	dmḏw	AuB'iCwit	Menge; die bestimmte Zeit; jemals	251				ⲧⲙⲉⲧ													
106	tp	tp		Saum; Schoss	356																	
108	*d'i:pvt	dp	A'iBCat	Geschmack(svermörgen)	83	ϯⲡⲉ																
112	*svdb'eḥyvw	sdbḥy		Gerät; Werzeug	394, 752	ⲥⲧⲉⲃⲁⲉⲓϩ																
118	*ḏvbꜣ'e(y)	ḏbꜣ	AuBC'iw	Vergelter	177, 412	ⲧⲃⲉ					ⲧⲃⲏ											
120	*ḏ'ebꜣvt	ḏbꜣ	A'iBCit	Schrein; Sarg; Kasten; Sarg	141, 423, 424	ⲧⲁⲓⲃⲉ	ⲧⲁⲓⲃⲓ		ⲧⲉⲓⲃⲉ													
123	*ṯvn'i:tv(y)	ṯnt	AuB'i:Caw	Versuch	111	ϫⲛⲓⲧ		ϫⲛⲓⲧ														
126	*ḏvb'eꜥwvt	ḏbꜥw	AaB'iCj/wat	Siegel	195	ⲧⲃⲃⲉ			ⲧⲃⲃⲉ													
128					455	ⲧⲏⲏⲃⲉ		ϯⲉⲓⲃⲉ														
129	*ḏ'abꜥvt	ḏbꜥ	A'aBCut	Siegelung; Siegelabdruck	68, 727	ⲧⲟⲟⲃⲉⲥ, ⲧⲟⲟⲃⲥ																
131	*ḏ'aqꜥv(y)	ḏqꜥ	A'aBCaw	Stachel	170	ϫⲟⲟⲕⲉϥ																
132	ḏqꜥ	ḏqꜥ		stehen; Loch	764	ϫⲱⲕⲉ																
133	ḏqꜥ	ḏqꜥ		stechen	170	ϫⲱⲱⲕⲉ																
134					125																	
135	*dldl	dldl		tropfen	125, 126, 346																	
136	*d(a)ld'i:lvt	dldl	AaBC'i:Dat	Tropfen	126, 346, 601	ⲧⲗϯⲗⲉ																
138	*svḏd'e/i(y)	sḏd	AaBC'iw	Erzähltes; Spruch; Gesprächsthema	237, 388		ϣϫⲏⲓ															
141	ḏꜣjt	ḏꜣjt			599	ⲧⲉⲩϫⲟ	ⲧⲟⲩϫⲟⲓ															
142	ḏrḏr	ḏrḏr		Feind	438	ϫⲁϫⲉ																
143	*ḏvrḏ'erwvw	ḏrḏrw		Feind	438	ϫⲓⲛϫⲉⲉⲩ, ϫⲓⲛϫⲉⲉⲩⲉ, ϫⲓϫⲉⲉⲩ, ϫⲓϫⲉⲉⲩⲉ																
144	ḏrjt	ḏrjt		Tenne; gedroschenes Korn	356																	
145	*ḏvr'ew	ḏrw	AaB'u:Cvw	Hindernis	203, 891				ϫⲗⲉ			ϫⲗⲉ										
146	*ḏ'aꜣ/rjvt	ḏꜣrj	A'aBCat	Mauer	125, 882	ϫⲟⲉ																
150	*ḏ'a:rvj	ḏr	A'a:Baj/w	aufhören; zum Aufhören bringen; fernhalten; hindern	38, 590, 601, 658, 738	ϫⲱⲱⲗⲉ			ϫⲱⲗ, ϫⲱⲗ													
151	*ḏvr'a(j)	ḏr	AiB'aC	Zaun; Hecke; Wall	158, 658		ϭⲗⲟ															
152	*ḏvr'aj	ḏrj		Mauer; Wand u.ä.	600, 668		ϭⲗⲟ, ϭⲣⲟ															
153	*ḏvr'a:(j)vt	ḏr	AiB'a:Cvt	Wand; Mauer	158, 600		ϭⲣⲱ															
154	*ḏ'arjvt	ḏrj	A'aBCat	fest; stark: Starker; tüchtig	130, 600, 609	ϫⲱⲱⲣⲉ		ϫⲟⲟⲣⲉ, ϫⲱⲱⲣⲉ			ϫⲱⲱⲣⲉ											
155	*ḏ'edfvt	ḏdf	A'iBCit	Wurm; Gewürm; Schlange; Kriechtier	138	ϫⲁⲧϥⲉ																
156	*degsvt	dgs	A'iBCat	Tritt; Fussspur; Fusssohle	81, 358	ⲧⲁϭⲥⲉ																
158	*d'agsv(y)	dgs	A'aBCiw	Stuhl; Thron	237, 520		ⲧⲟⲧⲥ, ⲧⲟϫⲥ															
159	dgs	dgs		(be)treten; befestigen; festsitzen	237, 366, 519	ⲧⲱⲕⲥ, ⲧⲱϭⲥ	ⲧⲱⲧⲥ															
160	*d'egꜣv(y)	dgꜣ	A'iBCaw	Klumpen; Brocken; Stück; Block	245, 780, 796	ⲧⲁϭ																
161	*d'egꜣvt	dgꜣ		Klumpen; Brocken; Stück	796								ϫⲉϫ									
162	*d'egꜣvt	dgꜣ	A'uBCit	kompakte Masse; Block; Barren (aus Metall)	231, 718, 780		ϫⲉϫⲥ															
163	*d'agꜣvt	dgꜣ	A'aBCat	kompakte Mass; Block; Barren (aus Metall)	223, 718, 796		ϫⲉϫⲥ, ϫⲟϫⲥ															
165				säen; pflanzen	722	ϫⲟ	ⲧϭⲟ, ϫϭⲟ, ϭⲟ	ϫⲟ	ϫⲟ		ϫⲁ											
166	*dvš'e:/u:rv(w)	dšr	AaB'u:Cvw	Flamingo; Kranich	201, 203, 694		ⲉⲧⲏϣⲓ															
168			AaB'a:Cuw	rot	no etym 189		ⲑⲣⲉϣⲣⲱϣ															
169	*m'e:/u:rvš	mrš	A'u:BiC	rötlich	149, 887	ⲙⲏⲣϣ	ⲙⲏⲣϣ				ⲙⲏⲣϣ											
170	mrš	mrš		rötlich werden	149, 179	ⲙⲣⲟϣ																
171	*m'eršv(y)	mrš	A'uBCiw	rötlich	179, 641, 887	ⲙⲉⲣϣ, ⲙⲣϣ		ⲙⲣϣ			ⲙⲉⲣϣ											
172	*d'e:/u:rvš	drš	A'u:BiC	rot	149																	
173	*d'a:švr	dšr	A'a:BiC	rot	129	ⲧⲱⲣϣ		ⲧⲱⲣϣ														
174	*dvš'e:/u:rvw	dšr	AaB'u:Cvw	Rotes'; Blut	202; 737		ϫⲏⲣⲓ, ϫⲓⲛⲓⲣⲓ															
175	*dvš'e:/u:rvt	dšr	AaB'u:Cvt	Rotes'; Blut; Meltau	201, 203, 694		ⲉⲧⲏϣⲓ															
179	*ḏa(w)'a:(w)vt	ḏ	AaB'a:Cat	Kobra; Viper	213, 642, 669		ⲁϫⲱ															
181	*dvwj'e:(y)vt	dwj		Berg	224, 292	ⲧⲟⲩⲉⲓⲏ																
186	*dawꜣvw	dwꜣ	A'aBCuw	Morgenfrühe	72	ⲧⲟⲟⲩⲉ																
187	*d'uwꜣvt	dwꜣ	A'uBCvt	Gegend im Osten des Himmels; wo Sonne und Sterne aufgehen; Unterwelt	266									ⲧⲏ, ⲧⲏⲓ								
188	*ḏvꜣḏ'a:ꜣvw	ḏꜣḏꜣ		Topf	484, 715, 792	ϫⲱ		ϫⲟⲩ	ϫⲱ													
189	*ḏ'aꜣḏaꜣ	ḏꜣḏꜣ		Kopf	368, 792	ϫⲱϫ	ϫⲱϫ		ϫⲱϫ		ϫⲱϫ											
190	*ḏ'aꜣjvw	ḏꜣj	A'aBCaw	Schiff	32, 171, 493, 791	ϫⲟⲓ																
191	*ḏ(a)ꜣ'e/ijw.vw	ḏꜣjw.	A'aBCaw	Schiff	32, 171, 493, 791	ⲉϫⲏⲩ																
193	*ḏvꜣ'a:dv(y)	ḏꜣd	AaB'a:Cuw	Schwanzdes Skorpions	158		ϭⲓⲱϯ															
194	*ḏvꜣ'a:dvt	ḏꜣd	AiB'a:Cvt	Schwanzdes Skorpions	158		ϭⲓⲱϯ															
195	*ḏ'eꜣfvw	ḏꜣf	A'iBCaw	Brennen; Brand; Frost	79, 790	ϫⲁϥ	ϫⲁϥ															
196	*ḏ'a:ꜣvf	ḏꜣf		verbrennen	365, 790	ϫⲟⲩϥ, ϫⲱϥ	ϫⲟⲩϥ, ϫⲱϥ	ϫⲟⲩϥ	ϫⲟⲩϥ													
198	ḏꜣmw	ḏꜣmw		Jungmannschaft; Generation	790	ϫⲱⲙ, ϫⲱⲟⲩ		ϫⲱⲙ, ϫⲱⲟⲩ	ϫⲱⲙ, ϫⲱⲟⲩ		ϫⲱⲙ, ϫⲱⲟⲩ											
199	*ḏ'uꜥnvt	ḏꜥn		Tanis	377, 395	ϫⲁⲁⲛⲉ	ϫⲁⲛⲓ															
200	*mvḏ'e:/u:ꜣvr	mḏꜣr	miA'u:BiC	Asche	256, 791	ⲙⲉϫⲏⲗ																
201				brennen	829	ϫⲉⲣⲟ	ϭⲉⲣⲟ	ϫⲉⲣⲟ	ϫⲉⲣⲟ		ϫⲉⲗⲁ											
203	ḏꜣr	ḏꜣr		kochen; *brennen	256, 791	ϫⲱⲣ																
206	*ḏ'i:ꜥvꜥ	ḏꜥꜥ		Zweig	461	ϫⲏ, ϫⲓ	ϫⲏⲓ		ϫⲓⲉ													
208	*ḏvꜥ'e/ib(y)vt	ḏꜥb	AuB'iCwit	Holzkohle; Russ; Grünspan o.ä.	250, 389, 475, 588	ϣⲏⲃⲉ, ϣⲓⲃⲉ	ϣⲏⲓⲃⲓ	ϣⲓⲃⲉ			ϣⲓⲃⲓ											
209	*ḏvꜥ'e/ib(y)vt	ḏꜥb	AuB'iCwit	Holzkohle; Russ; Grünspan o.ä.	250	ϫⲃⲃⲉⲥ, ϫⲃⲃⲥ																
211	*ḏ'eꜥrvt	ḏꜥr	A'uBCit	Nachlesetraube	231	ϫⲗⲗⲉ		ϫⲗⲗⲉ														
212	*ḏ'a:ꜥvr	ḏꜥr	A'a:BiC	Kundschafter	120	ϫⲱⲣ, ϫⲱⲱⲣ																
217	fdj	fdj	A'a:Baj/w	ausreissen	38	ϥⲱⲧⲉ																
219	*f'aḫjiw; *f'uḫjiw	fḫjw; fḫjw		Wüste	412, 437	ϣⲁϥⲉ	ϣⲁϥⲉ						ϣⲁⲃⲏ									
220	*fvḫ(j)'ej/ywvw	fḫjyw		Wüste	412, 437		ϣⲁϥⲉⲩ															
221	*f'a:ḫ(ay)	fḫ	A'a:BaC	Höhle	214		ϣⲱϥ															
222	fḫ	fḫ		(heraus)lösen; verwüsten; wüst werden	214	ϣⲱϥ																
223	*f(a)ḫ'a:(y)vt	fḫ	AaB'a:Cat	Grab	214		ϣϥⲱ															
227	*f'aqꜣv(y)	fqꜣ	A'aBCaw	Räuber	166	ϥⲟϭϥ																
229	*f'i:ꜣ(i)t	fꜣt		tragen	317, 425, 460, 491, 494	ϥⲓ																
230	*f'iꜣtv(j)	fꜣt		Träger'; Gefässuntersatz	317	ϥⲓⲧ																
232	*f'e/iꜣjvt	fꜣj		tragen	317, 425, 460, 491, 494		ϥⲁⲓ															
236	*gvbg'i:bv(y)	gbgb	AuB'i:Ciw	Stückchen o.ä.	251	ϭⲉⲃϭⲓⲃ																
239	*gabg'i:bv(j/y)	gbgb	AaB'i:Cij/w	in die Knie gesunken; lahm; gedrungen; klein	197		ϫⲁⲃϫⲓⲃ															
240	*g'e/ibjvt	gbj	A'iBj/wit	schwach werden; Furcht bekommen	52, 485	ϭⲃⲃⲉ	ϫⲉⲃⲓ															
243	*gvb'aꜣ	gbꜣ	AiB'aC	Arm	157, 440, 613	ϭⲃⲟⲓ	ϫⲫⲟⲓ															
244	*gvb'aꜣwvj	gbꜣw	AiB'aC	Arm(e)	157, 440, 613	ϭⲃⲟⲉ																
247	*g'aḥsvt	gḥs	A'aBCat	weibl. Dorkasgazelle	220, 614	ϭⲁϩⲥⲉ, ϭⲟϩⲥⲉ																
248	*g(a)ḥ'as	gḥs	AaB'aC	Dorkasgazelle	220	ϭϩⲟⲥ																
251	*gal'e(j/w)	gl		Gelähmter; Krüppel	413, 437	ϭⲁⲗⲉ	ϭⲁⲗⲉ				ϭⲁⲗⲏ	ϭⲁⲗⲏ										
252	*gal'ej/wwvw	gljw		Gelähmter; Krüppel	413, 437	ϭⲁⲗⲉⲉⲩ, ϭⲁⲗⲉⲉⲩⲉ, ϭⲁⲗⲉⲩ, ϭⲁⲗⲉⲩⲉ	ϭⲁⲗⲉⲩ															
253	gr	gr		bleiben; verweilen; aufhören	433	ϭⲱ			ϭⲱ		ϭⲱ											
254	glmlm	glmlm		umschlingen; einwickeln; sich schlingen; sich ringeln	467, 655	ϭⲗⲟⲙⲗⲙ	ϭⲗⲟⲙⲗⲉⲙ															
257	*g'am(y)vt	gm	A'aBCut	Kraft; Stärke; Macht	74	ϭⲟⲙ																
259	*gann'e:/i:(j)vt	gnn	AaBC'i:jat	weich; Niederung; Mönchszelle	161, 492, 720		ϫⲁⲛⲏ															
260	gnn	gnn	AaB'aC	weich werden; Weichheit	46, 188	ϭⲛⲟⲛ																
261	*g'ann(ej)	gnn	A'aBCij	Weiches; Niederung; Tiefe; Tal	161, 720	ϭⲟⲛ	ϫⲟⲛ															
262	*gann'e/i(j)	gnn	AaBC'ij	weich; Niederung; Tiefe; Tal	161, 411, 437		ϫⲁⲛⲉ															
263	*gann'e/i(j)wv	gnnw	AaBC'ij	weich; Niederung; Tiefe; Tal	161, 411, 437		ϫⲁⲛⲉⲩ															
266	*g'an(y)vt	gn	AaB'aCwvt	weich; Weiches; Niederung	188	ϭⲟⲟⲛⲉ																
267	*g'a:nv(y)	gn	AaB'a:Cuw	weich; Weiches	188	ϭⲱⲛ		ϭⲱⲛ														
269	*g'vr	gr		auch; aber	409	ϭⲉ	ϫⲉ	ϭⲉ	ϭⲉ		ϭⲏ	ϭⲏ			ϭⲏ							
272	*gvr'e:/u:pvt	grp	AaB'u:Cvt	Diadem; Szepter	202	ϭⲣⲏⲡⲉ, ϭⲣⲏⲡⲓ																
274	*gvr'e:/u:gvt	grg	AaB'u:Cut	Ausstattung; Mitgift; Mitgift	98	ϭⲣⲏϭⲉ																
275	*gvr'agwvw	grgw	AiB'aC	Same; Saat	157, 623	ϭⲣⲟⲟϭ																
276	*gvr'ag	grg	AiB'aC	Same; Saat	157, 623	ϭⲣⲟϭ																
278	*g'argv(y)	grg	A'aBCuw	Fang; Falle	66			ϭⲁⲣϭϥ														
284	*g'arḥv(j/y)	grḥ		ruhig; Ruhe	328	ϩⲟⲣⲕ																
285	*gvr'e:ḥv(y)	grḥ	AaB'u:Cuw	aufhören; verschwinden	102	ϩⲣⲏϭ																
286	qrḥ	qrḥ		still werden; aufhören	102, 657	ϩⲣⲟⲕ																
289	*g'arḥv(j/y)	grḥ		ruhig; Ruhe	328	ϩⲟⲣⲕϥ																
290	*qvr'i:mv(y)	qrm	AuB'i:Ciw	Stück; Brocken	249	ϭⲣⲓⲙ																
291	grm	grm		fortreissen	249	ϭⲱⲣⲙ																
292	grp	grp		offenbaren	737	ϭⲱⲗⲡ		ϭⲱⲗⲡ	ϭⲱⲗⲡ		ϭⲱⲗⲡ											
293	grp	grp		offenbaren	737		ϭⲱⲣⲡ															
294	glꜥ	glꜥ		bekleiden; bedecken	170		ϫⲱⲗϩ															
295	*g'alꜥvt	glꜥ	A'aBCat	Gewand; Decke	125	ϭⲟⲟⲗⲉⲥ																
296	glꜥ	glꜥ		bekleiden; bedecken	125	ϭⲱⲱⲗⲉ																
297	*g'alꜥv(y)	glꜥ	A'aBCaw	umlaufendes Gitter	170		ϫⲟⲗϩϥ															
303	*g'a:švp	gšp		blicken	365	ϭⲱϣⲧ	ϫⲟⲩϣⲧ		ϭⲱϣⲧ													
306	*g'awnvt	gwn	A'aBCat	Sack o.ä.	223	ϭⲟⲟⲩⲛⲉ																
307	*g'eꜥ(yvy)	gꜥ	A'uBCiw	schmal; klein	180, 609	ⲕⲁⲓ																
308				verdammen; hässlich machen	486, 663, 876	ⲧϭⲁⲉⲓⲟ, ⲧϭⲁⲓⲟ		ϫⲁⲉⲓⲟ														
309	*g'e/uꜣ(jvy)	gꜣ		Aussehen; Äusseres	406								ϭⲁ									
310	*gaꜣj'e(j)	gꜣj	AaBC'ij	hässlich	162, 411, 493	ϭⲁⲓⲉ	ϫⲁⲓⲉ															
312	*g'a:ꜣ(a)w	gꜣw	A'a:Baj/w	eng sein	38, 180, 483, 494	ϭⲱⲟⲩ, ϭⲱⲩ																
313	*gaꜣj'e:(j)vt	gꜣj	AaBC'i:jat	hässlich	162, 411, 493		ϫⲁⲓⲏ															
315	*g'eꜥgvꜣ	gꜥgꜣ		Schrei; Ruf	514	ⲕⲁⲕ	ⲕⲁⲕ															
316	*g'e/iꜣ(jvy)	gꜣ		Napf; Schale	406	ⲕⲁⲓ																
321	*gvꜣ'eš; *g'eꜣšvj	gꜣš; gꜣš		Schilfrohr	294, 385, 540	ⲕⲁϣ	ⲕⲁϣ															
324	*h'e/iꜣ	hꜣ		Gatte	403, 813	ϩⲁⲓ	ϩⲁⲓ	ϩⲉⲓ	ϩⲉⲉⲓ		ϩⲉⲓ											
328	*ḥ'i:w(i)t	ḥwt		werfen	494, 595	ϩⲓⲟⲩⲉ		ϩⲓⲟⲩⲉ	ϩⲓⲟⲩⲉ													
330	*ḫ'e/it	ḫt		Holz	409, 845, 383	ϣⲉ	ϣⲉ				ϣⲏ	ϣⲏ										
331	*ḫ'e/iwyvt	ḫwy	AuB'iCwit	Palast; Heiligtum; Tempel	250, 388		ϣⲏⲓ															
332	*ḫiꜣ'it	ḫꜣt	AiB'it	lang werden; hoch sein	61, 100, 406, 700	ϣⲓⲁⲓ	ϣⲓⲁⲓ															
334	ḫj	ḫj		lang werden; wachsen	520																	
336	*h'eb(wvw)	hb	A'uBCiw	Pflug	178	ϩⲃⲃⲉ																
338	*ḥ'e/ibjvt	ḥbj	A'iBj/wit	niedrig, kurz werden	52, 485, 521, 571		ϩⲉⲃⲓ															
340	*ḥ'i:bvt	ḥb		erniedrigen; demütigen	571	ϩⲓⲃⲉ																
342	*h(i)b'a:yvw	hby		Ibis	365, 488, 614	ϩⲃⲟⲩⲓ, ϩⲉⲃⲟⲩⲓ, ϩⲓⲃⲟⲩⲓ, ϩⲃⲟⲩⲓ	ϩⲃⲟⲩⲓ, ϩⲃⲟⲩⲓ															
344	*h'i:b(a)w	hbw	A'i:BaC	Ibis	138, 614		ϩⲓⲡ															
347	*ḥvꜣ'e/ibjvy	ḥꜣbj	AvB'uCj/waw	Niedergeschlagenheit'; Trauer	93, 386, 389, 473	ϩⲏⲃⲉ	ϩⲏⲃⲓ, ϩⲏⲓⲃⲓ	ϩⲏⲃⲉ	ϩⲏⲃⲉ		ϩⲏⲃⲓ, ϩⲏⲓⲃⲓ											
348	*ḥ'e/ibjvt	ḥbj	A'iBj/wit	niedrig, kurz werden	52, 485, 521, 571	ϩⲃⲃⲉ																
350	ḫbj	ḫbj	A'a:Baj/w	vermindern	38	ϣⲱⲃ																
353				niederwerfen	40, 346, 549	ϩⲃⲟⲣⲃⲣ	ⲃⲟⲣⲃⲣ															
357	*ḥvb'as	ḥbs	AiB'aC	Kleid	156, 362, 623	ϩⲃⲟⲟⲥ, ϩⲃⲟⲥ			ϩⲃⲁⲥ													
359	*ḥ'ebsvw	ḥbs	A'iBCaw	Verhüllung; Bekleidung; Decke; Hülle	79, 576	ϩⲃⲥ																
360	*ḥvbs'a:wvt	ḥbsw	AaBC'a:wat	Stück Zeug; Kleid	171	ϩⲃⲥⲱ																
362	*ḥ'absv(y)	ḥbs	A'aBCaw	Deckel; Decke	170, 541	ϩⲟⲃⲥ			ϩⲁⲃⲥ		ϩⲁⲃⲥ					ϩⲁⲃⲃⲉⲥ, ϩⲁⲃⲥ, ϩⲁⲡⲥ						
363				Decke	123, 541	ϩⲟⲃⲥ, ϩⲱⲃⲥ	ϩⲱⲃⲥ		ϩⲁⲃⲥ		ϩⲁⲃⲥ					ϩⲁⲃⲃⲉⲥ, ϩⲁⲃⲥ, ϩⲁⲡⲥ						
368	*n'e/uḥḏvt	nḥḏ		Zahn	211, 395, 398, 422	ⲛⲁⲁϫⲉ, ⲛⲁϫϩⲉ	ⲛⲁϫϩⲓ	ⲛⲉⲉϫⲉ														
370	*ḥvḏ'i:ḏv(j/y)	ḥḏḏ		Zwiebel; Rote Rübe	297	ϩϯⲧ	ϩϯⲧ															
371	ḫdp	ḫdp		eilen	43				ϣⲱⲧⲡ													
375	*ḫvd'ap	ḫdp	AaB'aC	Eile	43		ϣⲧⲟⲡ															
377	*ḥ'aḏvj	ḥḏ	A'a:BiC	kalt	129		ϩⲱϫ															
380	*ẖ'a:dvb	ẖdb	A'a:BiC	Mörder	120	ϩⲱⲧⲃⲉ																
381	*ẖ'edbvt	ẖdb	A'iBCat	Mord; Leiche	80	ϩⲁⲧⲃⲉⲥ																
