TLA__ID	TLA__form	TLA__meaning_en	TLA__meaning_de
55660	bn.wt	heat (oestrus phase of female mammal)	Brunft (Schwellung der tierischen Genitalien)
55550	bn.tj	nipples; breasts	Brustwarzen; Brüste (Dual)
867725	bn.tjj		Pavianartiger
56180	Bn.ty	Benti (baboon as a son of the sun god)	Benti (Pavian als Sohn des Sonnengottes)
55590	Bn.w	Phoenix (benu-bird)	Phönix (Benu)
867722	bn.w		Phönix
55630	bnw	[a part of the body (waist? buttocks?]	[ein Körperteil (Taille? Gesäß?)]
500800	Bnny	Beneni (baboon in the Amduat)	Beneni (Pavian im Amduat)
82770	nbnb	to bring forth (the inundation)	[vom Kommen der Überschwemmung]
131810	sbnn	to give suck	befruchten
131820	sbn.t	cow in suck	säugende Kuh; Stillende
103690	ḥbnbn	to spring up (?)	herunter rutschen
d3794	hbrbr(e)		niederwerfen; niedergeworfen sein; kriechen
d3793	hbr		mißhandeln, demütigen
dm7656	hbr		Leiden, Elend, Mißhandlung (o.ä.)
d3796	hblꜥ		Mißhandlung(?)
dm1127	ḥbrle		niederschlagen (o.ä.)
873152	bn.tj		Pavian
857658	sbnn.wt		Zeugungskraft
55620	bnw	miller (?)	Müller (?)
55650	bnw.t	quern; hard stone	Mühlstein
55720	bnbn	Benben (sacred stone); obelisk	Benben (heiliger Stein); Obelisk
55730	bnbn	[a conical loaf of bread]	[spitzes Brot]
55740	bnbn	yard; spar (naut.)	[ein Balken (aus Zedernholz)]
55750	bnbn	to beget; to ejaculate	begatten; ejakulieren
55760	bnbn	to be happy about	sich erfreuen an
55770	bnbn	to make flow (of the Nile); to swell	ausfließen (vom Nil); anschwellen
55780	bnbn	to point upwards; to be erect	nach oben zeigen; aufgerichtet sein
55800	bnbn.t	pyramidion	Pyramidion (Spitze von Pyramide und Obelisk)
55910	bnn.t	threshold	Türschwelle (?)
55920	bnr.w	outside	das Außen; Außenseite
57670	bq	to be hostile	widerspenstig sein; feindlich sein
56380	br	basket	Korb
56270	br	eyeball; eye	Augapfel; Auge
56280	br	to see	sehen
56290	br	[what fills the moon eye]	[das, womit das Mondauge gefüllt wird]
56430	brbr	to boil; to boil over	kochen; überkochen
56440	brbr	[a liquid]	[eine Flüssigkeit in einem Kyphirezept]
600644	bꜣbꜣ	lance	Lanze
56320	br	[a mullet]	[eine Meeräsche]
56610	brg.t	[a semi-precious stone (beryl?)]	[ein Halbedelstein (Beryll)]
56580	brg	to be open	geöffnet sein (von Türen)
850475	Brhm	Blemmyes	Blemmyer
56520	Brhm.t	Blemmyes	Blemmyerin
56570	brkt	pool (Sem. loan word)	Teich
56530	brq	to sparkle (Sem. loan word)	glitzern
57430	bsbs	[a duck]	[eine Ente]
57210	Bs	Bes	Bes
57560	bš	[malted grain? (for making beer)]	[eine Frucht]
57470	bsn.t	burin	Grabstichel
58130	btꜣ.w	wrong; crime	Verbrechen; Vergehen
58140	btꜣ	to make (oneself) guilty	(sich) schuldig machen
58150	btꜣ	wrongdoer	Verbrecher
58170	btꜣ.t	injury; harm	Benachteiligung
dm1112	bwt		Verbrechen, Strafe (btꜣ)
d1833	btj		hassen, verabscheuen
d1834	btj(.t)		Abscheu, Verabscheutes
d1836	btw(e)		Verbrechen; Leid, Böses; Strafe; Verbrecher
d1832	bt(ꜣ).t		Abscheu, Verabscheutes
dm1190	bṱꜣ		Übel
58320	bṯ.w	(poisonous) serpent (Apophis)	Giftschlange; Schlange (Bez. für Apophis)
861039	bṯ.w		[Schlange]
52790	b	abomination	Böses (o. Ä.)
55150	bw.t	abomination	Abscheu; Frevel
55320	bwi̯	to abominate	verabscheuen
54290	bjꜣ	ore (gen.); metal; copper	Erz (allg); Metall; Meteoreisen; Kupfer
54300	bjꜣ	mineral of meteoric origin (gen.); ore	Meteor-Gestein (allg.); Erzgestein
54310	bjꜣ	mine; mining region	Bergwerk; Minenregion
54380	bjꜣ.t	mining region	Bergwerksregion
54390	bjꜣ.t	quartzite	kristalliner Sandstein (Quarzit)
54460	bjꜣ.j	valuable; consisting of bronze (?)	kostbar; ehern; metallen
54500	bjꜣ.w	produce (of a mine)	Erzausbeute
54510	bjꜣ.w	mine; mining region	Bergwerk
860355	bjꜣ		Speer
867716	bjꜣ.j		Metallener
54320	bjꜣ	heaven; sky	ehernes Himmelsgewässer; Firmament
54330	bjꜣi̯	to be far from; to remove oneself from	sich entfernen
54350	bjꜣ	(processional) way	Weg (der Prozession)
856572	bjꜣ.w		zum Himmelsgewässer Gehöriger
856573	bjꜣ.wt		Firmament
873149	bjꜣ.j		zum Himmelsgewässer gehörig
52820	bꜣ	to be a ba(-soul); to be endowed with a ba(-soul)	ba-mächtig sein
52830	bꜣ	to endow with a ba(-soul)	ba-mächtig machen
52840	bꜣ	ba(-soul); manifestation; might	Ba (Seelenkraft als Teil der Persönlichkeit)
53020	bꜣ.wj	the two souls (pairs of gods)	die beiden Bas (für Götterpaare)
850437	bꜣ.w	ba-souls	Ba-Seelen (Göttergemeinschaft, als Ortsgötter)
52850	Bꜣ	Ba (sacred ram of Mendes)	Ba (heiliger Bock von Mendes); Widdergott
58090	bt	shepherd	Schafhirt
53430	bꜣbꜣ	to distribute; to pour out	verteilen; ausgießen
53450	bꜣbꜣ.t	inshore eddy (?); whirlpool (?)	frisches Flutwasser; Uferströmung; Strudel
53470	bꜣbꜣ.t	testicles	Hoden
53480	bꜣbꜣ	to overflow; to be agitated	hervorsprudeln; in Wellen fließen
600644	bꜣbꜣ	lance	Lanze
53420	bꜣbꜣ	hole; cavern	Loch; Höhle
53430	bꜣbꜣ	to distribute; to pour out	verteilen; ausgießen
53450	bꜣbꜣ.t	inshore eddy (?); whirlpool (?)	frisches Flutwasser; Uferströmung; Strudel
53470	bꜣbꜣ.t	testicles	Hoden
53480	bꜣbꜣ	to overflow; to be agitated	hervorsprudeln; in Wellen fließen
600644	bꜣbꜣ	lance	Lanze
53410	bꜣbꜣ	to tremble; to flutter	zittern; flattern
850444	bꜣw	[noun (hill?)]	Hügel
52960	bꜣ.t	bush; shrub	Busch; Gebüsch
53510	bꜣḥ	phallus	Phallus
53530	bꜣḥ.yt	under-kilt (?)	Unterschurz (?) (als Phallusschutz); [Stoffbezeichnung]
850447	bꜣḥ	to beget	zeugen
53920	bꜣkꜣ.t	plot; precinct; town	Grundstück; Bezirk; Stadt
53800	bꜣk	to work; to render (services)	arbeiten; bearbeiten; (Abgaben) leisten; (Dienst) leisten
53810	bꜣk	to enslave	versklaven (arbeiten für jmnd.)
53820	bꜣk.w	task; labor	Arbeit; Arbeitsleistung
53830	bꜣk	servant; underling	Diener; Untergebener
53840	bꜣk	[a device used during a siege (stone thrower?)]	Plattform, Rampe; Tribüne
53850	bꜣk	work (in progress)	Arbeit
53860	bꜣk.t	revenue; (results of) work	Abgaben; Erzeugnisse (der Arbeit)
53870	bꜣk.t	servant	Dienerin
53890	bꜣk.w	taxes; deliveries; pay	Steuern; Lieferungen; Lohn
53930	bꜣk.w	workers	die Arbeiter
53940	bꜣk.wt	staff (of servants)	Dienerschaft
53700	bꜣq	moringa tree	Moringa-Baum (?); Olivenbaum (?)
53720	bꜣq	oil of the moringa tree	Moringa-Baum-Öl (Behenöl) (?); Olivenöl (?)
53750	bꜣq.t	oil of the moringa tree	Moringa-Baum-Öl (?); Olivenöl (?)
53760	bꜣq.t	[a jar (for oil)]	[ein Ölgefäß]
53600	bꜣs	[a jar for unguent)]	[ein Gefäß (für Salbe)]
53610	bꜣs	water-pot (of a scribe)	Wassernapf (des Schreibers)
53650	bꜣs.t	beaker; pail	Becher; Eimer
850451	bꜣs	[a measure equaling 1/2 hin)	Hohlmaß (1/2 Hin)
54840	bꜥ.t	[a food (?)]	[ein Nahrungsmittel (?)]
54870	bꜥj	rod of palm	Palmenrippe
59600	pꜥ	to spit out	speien; (Funken) sprühen
54990	bꜥḥ.w	flood; inundation	Wasserfülle; Überschwemmung
55000	bꜥḥ	inundated land	bewässertes Ackerland
55040	bꜥḥ.w	stream of semen (of Sobek, metaph. for the inundation)	Samenerguss (des Sobek)
177840	dj.w	five	fünf
177870	dj.wt	fiver (winnower); troop of five workers	die des Fünfertrupps (Worflerin); Fünfertruppe (Arbeiterinnen)
177590	d	hand	Hand (nur als Schriftzeichen)
177830	dy	here; there	hier; hierher; da, dort
851711	rḏi̯		geben; veranlassen
96700	rḏi̯	to give; to put; to place	geben; legen; setzen; zeigen
550028	rḏi̯	to cause; to allow	veranlassen; zulassen (dass)
400126	ḏi̯	to cause; to permit	veranlassen (dass); zulassen (dass)
400124	ḏi̯	to give; to put; to place	geben; legen; setzen
179420	dmḏ	to (re)assemble; to be (re)assemled	zusammenfügen; (sich) vereinigen; vereinigt sein; zusammentreffen
179430	dmḏ	total	Gesamtheit; Summe
179440	dmḏ	total	Summierung (in Rechnungen)
179460	dmḏ.t	collection (of recipies); pharmacopoeia	Sammelschrift
179520	dmḏ.wj	the two parties (to a quarrel)	die beiden Parteien (eines Streites)
179530	dmḏ.wt	crowd	Menge (von Menschen)
179580	dmḏ.yt	assembly	Versammlung
179590	dmḏ.yt	[recurring fixed or appointed time]	Frist; Endtermin
550065	dmḏ.yt	grand total	Gesamtabrechnung
178360	db.w	bank	Ufer
178970	dp	to taste; to bite into	schmecken; kosten; spüren
179020	dp.t	taste	Geschmack
184150	ḏnj.t	[a basket]	[ein Korb]
184170	ḏnj.t	[a large jar]	[ein großer Krug]
184210	ḏnj.t	[a basket]	[ein Korb]
183120	ḏb.t	brick; sheet; ingot (also as a unit of measure)	Ziegel; Platte; Barren (als Maß)
149780	sdbḥ	to supply; to equip	ausrüsten; versorgen
149790	sdbḥ	equipment	Ausrüstung; Geräte
178750	dbḥ	to be in need of; to ask for; to requisition	bedürfen; erbitten
178760	dbḥ.w	requests	die Bitten
178800	dbḥ.t	necessaries	Bedarf; Geräte
178810	dbḥ.t	altar (for the funeray meal)	Tisch (für Speisenbedarf des Toten)
178830	dbḥ.w	requirements; needs (gen.)	Bedarf (allg.); Notwendigkeiten (von Bestandteilen des Udjatauges); Gerät
178840	dbḥ.w	offering foods	Speisen (als Lebensbedarf, als Opfer)
184280	ḏnf		[ein Tier]
150730	sḏnf	ibex	Steinbock
184370	ḏnḥ	wing	Flügel
184390	ḏnḥ	upper part of the (hind-)leg	Bein (oder Teil des Beins)
184400	ḏnḥ	blade (of an oar)	Ruderblatt
172560	tnm	dirt	Schmutz
183170	ḏbꜣ	to replace; to reimburse; to repay	ersetzen; bezahlen; vergelten; (e. Sitz) einnehmen; bestrafen
183350	ḏbꜣ.w	compensation; payments	Ersatz; Bezahlung
183190	ḏbꜣ	to be blocked; to block	vestopft sein; verstopfen; füllen
183270	ḏbꜣ	[a crate for captured birds]	Kasten (für gefangene Vögel)
183290	ḏbꜣ	[a box (pedestal? naos?)]	[ein Kasten (Sockel? Naos?]
183310	ḏbꜣ.t	shrine; sarcophagus	Schrein; Sarg
183320	ḏbꜣ.t	base (of a shrine)	Untersatz (für den Götterschrein)
183330	ḏbꜣ.t	(earthen) dam (in irrigation canal)	Damm
450152	ḏbꜣ.w	[a wooden box]	[ein Holzkasten]
600464	dnrg	[a fruit (melon?); Sem. loan word]	[eine Frucht (Melone, Gurke)]
d7768	ḏnt		erproben, überlegen
179030	dp.t	loins	Lende; Lendengegend
180970	dqr	to cover; to overlay (med.)	anheften
550234	dqr	to cover; to overlay	verputzen (Maurertätigkeit)
183460	ḏbꜥ	to seal	siegeln; verschließen
183510	ḏbꜥ	seal; signet	Siegel; Siegelring
183520	ḏbꜥ	seal; signet	Einfriedungsring
183530	ḏbꜥ.wt	seal; seal impression	Siegel; Siegelabdruck; Siegelung
183540	ḏbꜥ.t	seal; seal impression	Siegelabdruck
183580	ḏbꜥ.w	sealing; labelling	Siegelung
450303	ḏbꜥ	door-hinge tenon (?); ring for a door bolt (?)	ringförmiger Türriegelgriff
852567	ḏbꜥ	one who seals	Siegelnder
183430	ḏbꜥ	finger	Finger
183440	ḏbꜥ	finger (as a measure of lengh); pinch (as a measure of quantity)	Fingerbreite (Längenmaß); Prise (Mengenmaß)
d7831	ḏqꜥ		schlagen, einritzen; schneiden, teilen
180130	dr	to drive away; to repel; to remove	entfernen; vertreiben; vertilgen
180140	dr	to cast down	[vom Abtragen eines Gebäudes]
150940	sḏd	to recount; to talk	erzählen; sprechen
150950	sḏd.w	tale; conversation	Worte; Reden
185810	ḏd	to say; to tell	sagen; mitteilen
185160	ḏrḏr	strange; foreign	fremd
600474	ḏrḏr	to be foreign; to behave hostilely	fremd sein; feindlich handeln
650046	ḏrḏr	stranger; foreigner	Fremder
184860	ḏrj	firm; stout	fest; hart; tüchtig
184870	ḏrj	to be hard (?); to be stolid (?)	[in unklarem Zusammenhang]
850133	ḏri̯	to be hard (?); to be stolid (?)	fest sein; gleichgültig sein
184530	ḏr	end; limit; boundary	Ende; Grenze; Bereich
184540	ḏr	since (spatial, temp.)	seit (temporal); von ... her (lokal); bei (lokal)
184550	ḏr	when; because	als; weil (Konjunktion)
184560	ḏr	to end up as	schließlich sein (bei e. Tun); [aux./modal]
184570	ḏr	to hinder; to put an end to	fernhalten (von); beseitigen; beenden
184610	ḏr	[a grave in a foreign land]	[primitives Grab in der Fremde]
184730	ḏr.w	walls (?) (of a house)	[Teil des Hauses]
184900	ḏrj.t	wall (?); floor (?)	[aus Elfenbein und Ebenholz Hergestelltes]
184910	ḏry.t	dwelling; chamber	Gemach; Wohnung; Schrein
184920	ḏrj.t	coffin	Sarg
184990	ḏr.w	end; limit; boundary	Ende; Grenze; Bereich
185000	ḏr.w	obstacle	Hindernis
185010	ḏrw.t	coffin	Sarg
185030	ḏrwt	hall (?)	Fassade (?)
185060	ḏrw.w	side (of the body); flank	Seite; Rippengegend (am Körper)
186250	ḏdf.t	snake; worm (med.)	Gewürm; Schlangen
181250	dgs	to tread; to enter	treten; betreten
181260	dgs	foot print	Fußabdruck; Fußspur
173720	tks	to be fixed; settled, to be stygmatized	foltern; fixieren; (Steuern) festsetzen
173710	tks	to reach, to pierce	(einen Ort) erreichen; durchbohren
181080	dgꜣ	to cover; to overlay; to lay (stones); to plant	anheften; (Steine) verlegen; pflanzen
181100	dgꜣ	inscriptions	Inschriften (?)
181110	dgꜣ.yt	cut of meat; jerky	Fleischstück; Dörrfleisch
181080	dgꜣ	to cover; to overlay; to lay (stones); to plant	anheften; (Steine) verlegen; pflanzen
877868	dgꜣ.wj		[Pflanzenteil]
181070	dgꜣ	fruit	Frucht
180690	dšr	to be red; to become red	rot werden; rot sein
550232	dšr	red; angry	rot; wütend
180700	dšr	reddening (med.)	Röte; Rötung
180770	dšr	[a red steer, as an offering]	[Rind (für Opfer)]
180780	dšr	red one (Seth, as a hippopotamus)	[Bez. für das Nilpferd]
180880	dšr.w	redfish	roter Buntbarsch
180800	dšr.t	wrath (of the Red Crown)	Unheil; Zorn
180820	dšr.t	[a red pot]	[ein roter Krug]
180830	dšr.t	Red (crown of Lower Egypt)	die Rote (Krone von U.Äg.)
71380	mnš.t	[a mineral pigment (red ochre?)]	[ein mineralischer Stoff (roter Ocker ?)]
184960	ḏrꜥ	to lay low; to overthrow (Sem. loan word)	unterwerfen; zerstreuen
181340	ḏ.t	viper; cobra	"Kobra (""sich Aufrichtende""); Schlange"
182830	ḏw	mountain	Berg
182890	ḏw.t	mountain	Berg
182920	ḏw.wj	two mountain ridges (flanking the river)	die beiden Uferberge
180440	dḥr	bitter	bitter sein
180450	dḥr.t	bitterness; sickness	Bitternis
149730	sdwn	to fall to pieces (of a boat); to spring (of planks)	zerfallen (vom ausgetrockneten Schiff); (sich) strecken; (sich) ausstrecken
177910	dwꜣ	morning-tide (?)	[ein Gewässer im Osten des Himmels]
177920	dwꜣ	to rise early	früh auf sein
178000	dwꜣ.w	(early) morning	der Morgen; früher Morgen
178100	dwꜣ.wj	of the morning	morgendlich
178120	dwꜣ.yt	(early) morning; tomorrow	der Morgen; das Morgen (morgiger Tag)
400078	dwꜣ.w	in the morning; tomorrow	morgens
600406	dwꜣ.w	tomorrow; the morrow	das Morgen (morgiger Tag)
182440	ḏꜣḏꜣ.t	pot	Topf
182320	ḏꜣḏꜣ	assembly; council; magistrates (at the judgement of the dead)	Behörde
182330	ḏꜣḏꜣ	head; tip	Kopf; Spitze
181510	ḏꜣ	to cross	fahren
181770	ḏꜣ.y	[a large riverboat]	[ein Flussschiff]
181780	ḏꜣi̯	to cross (a body of water); to ferry	überqueren; durchziehen; (jmdn.) übersetzen (über/nach)
181860	ḏꜣy	[a vessel]	[ein Krug]
400687	ḏꜣ.yw	ferryman	Fährmann
400952	ḏꜣ.t	[a boat]	[ein Boot]
856599	ḏꜣ.t	crossing	Überfahrt
182300	ḏꜣd.t	[a snake]	[Schlange]
871040	ḏꜣd		[Schlange]
182290	ḏꜣd		(Schlachtopfer) abstechen
182120	ḏꜣf	to burn up	verbrennen
182130	ḏꜣf	burned meat (med.)	Verbranntes (Fleisch)
182150	ḏꜣm	to wave (?)	[von der Bewegung der Hände und Füße (beim Tanz)]
182160	ḏꜣm	offspring; youths; generation	Nachwuchs; Rekruten; Generation
182170	ḏꜣm	young cattle	Jungvieh
853903	Ḏꜥn.t		Tanis
182250	ḏꜣr	[a fruit]	[eine Frucht (eines Baumes)]
182260	ḏꜣr.t	[a fruit]	Johannisbrotfrucht
182540	ḏꜥ		wüst liegen
182500	ḏꜥ		[eine Ackerarbeit]
182510	ḏꜥ	[a kind of bread]	[ein Gebäck]
182480	ḏꜥ	storm; wind	Sturm; Wind; Blähung
182490	ḏꜥ	to be stormy; to break wind (med.)	stürmisch sein; Winde lassen
182610	ḏꜥb	to blacken	schwärzen (mit Kohle)
182620	ḏꜥb	coal-black	kohlschwarz (vom Haar)
182650	ḏꜥb	charcoal	Kohle
182660	ḏꜥb.t	charcoal	Holzkohle; schwarzes Pigment
182670	ḏꜥb.t	charcoal; soot (med.)	Ruß
182680	ḏꜥb.t	[an ingredient in kyphi]	[Teil des Kyphi]
182760	ḏꜥr	to seek; to investigate; to take thought of	suchen; untersuchen
182770	ḏꜥr	to take thought of	(besorgt auf etwas) blicken; sich kümmern um
10050	'=f	he; him; his (suffix pron., 3rd. per. masc. sing.)	[Suffix Pron. sg.3.m.]
10060	'=fj	his; its (suffix pron., 3rd per. masc. sing. after dual nouns)	[Suffix Pron. sg.3.m. nach Dual]
63710	fj	he (dep. pron., 3rd per. masc. sing.)	er [altes Pron.sg.m.3, im Verbaladjektiv]
852311	fy		Palästinaviper
d2201	fj		Hornviper ('= fꜣj)
64290	fd.w	four	vier
64220	fd	to wipe away	abwischen
64240	fd	to sweat	schwitzen
64260	fd.t	sweat	Schweiß
63970	fḫ	to loosen; to leave	(sich) lösen; fortbewegen; zerstören; aufhören (zu tun)
d4480	ḫf		zerstören; zugrunde gehen, verwüstet sein
d4485	ḫft		zerstören ('= ḫf)
dm7844	ḫf		Ruin, Zerstörung
dm7970	ḫf.t		Wüste, Ödland
dm5261	ꜥḫf		zerstörter Platz (o.ä.)
63990	fḫ.t	wig	Perücke (?)
63980	fḫḫ	to loosen	lösen
69350	mfḫ	sled	[Schlitten]
69360	mfḫ	to sift (grain)	(Getreide) sieben
133780	sfḫ	to loosen; to release	lösen; ablösen
133790	sfḫ	what is laid aside (a garment, a wreath)	das Abgelegte; Opfer
133800	sfḫ		Ausscheidung; Harn
133820	sfḫ		Abfall
133830	sfḫ		Riemen (der Sandale)
857661	sfḫ.t	excretion; urine	Ausscheidung; Harn
857662	sfḫfḫ		ablösen
852044	sfḫḫ		lösen; loslassen
137390	snfḫfḫ	to loosen; to realease	lösen
d5512	sḫf		lösen ('= sfḫ)
116710	ḫfḫf		(eine Statue) zertrümmern
97050	sfḫ		[Zeremonie des Totenkultes]
133840	sfḫ.y	watch; guardhouse	Wache
133920	sfg		verborgen sein
877838	sfḫ		[Honigmaß]
63890	fnṯ	snake; worm; maggot	Wurm; Schlange; Made
63900	fnṯ	to become maggoty	madig werden
63910	fnṯw	wormy meat	madiges Fleisch
64050	fqꜣ	out, quickly!	schnell hervorspringen
64040	fqꜣ	to uproot; to eradicate	(Pflanzen) abreißen; (ein Volk) ausrotten
64130	ft	to turn away from (in disgust); to show dislike	sich ekeln; überdrüssig werden
63420	fꜣ.t	freight (of a boat); yield (?)	Last (eines Schiffes); Ertrag (o. Ä.)
63460	fꜣi̯	to lift; to carry	hochheben; tragen; (sich) erheben
63480	fꜣi̯	to weigh	wägen; aufwiegen
63490	fꜣ.y	bearer	Träger
63500	fꜣ.y	[a rope]	[etwas (ein Strick?) aus Wedj-Pflanzen Hergestelltes]
63510	fꜣ.y	[chain or the like, used as bracelet, necklace or for stringing amulets]	[etwas aus Halbedelstein Hergestelltes]
63520	fꜣ.y	cloth	Kleiderbehälter; Kleid
63530	fꜣy.t	bearers (of a divine image)	Trägerschaft (Trägergruppe des Götterbildes)
63540	fꜣy.t	load; yield	Last (eines Schiffes); Ertrag (o. Ä.)
63550	fꜣy.t	portable shrine	Tragbahre (für Götter); tragbarer Götterschrein
63570	fꜣ	weight	Gewicht
63630	fꜣ.w	deliveries (of offerings)	Lieferung von Speisen (u. Ä.)
63760	fꜥꜣ	lock of hair	Haarlocke
166950	gbi̯	to be weak; to be deficient; to defraud; to cheat	schwach sein; bedürftig sein; (jmdn.) schädigen; (jmdn.) betrügen
166960	gb.w	damage	Schaden; Frevel
167050	gbgb	to overthrow	(den Feind) niederwerfen
167060	gbgb	to be lame	lahm sein
167070	gbgb	a lame person	Lahmer
166970	Gbtw	Koptos	Koptos
d6313	Qbt		Koptos
d6766	Gbṱ		Koptos
166990	gbtw.j	one of Koptos (Min)	der von Koptos (Min u. andere Götter)
166900	gbꜣ	arm	Arm, Oberarm
d6713	gjḏ(.t)		Hand
168780	gḏ		Arme
168210	gḥs	gazelle	Gazelle
168230	gḥs.t	gazelle	Gazellenweibchen
860910	gḥs.tj		zu Geheset gehörig
d6920	gḥs(j.t)		Gazelle
167750	gr	to be silent	schweigen; ruhig sein; aufhören
167760	gr	silence	Schweigen
167800	gr.w	silent one	Schweigsamer
164780	knm	to wrap in	einhüllen (in ein Gewand)
167160	gm.t	black ibis	schwarzer Ibis
167210	gmi̯	to find; to discover	finden; entdecken; vorfinden; in der Lage sein
167370	gmgm	to smash; to break; to tear	zerbrechen; zerknicken
167380	gmgm	to finger; to caress	betasten; umhertappen
